tag,prev_tag_sheet,sp_code,height1,height2,height_method,dbh1,dbh2,dbh_hom,dbh_method,cii,canopy_pos,survival_status,deathdam_status,deathdam_mode,living_length,pct_crown,pct_leaves,degrees_leaning,leaf_damage,wounded_trunk,comment,row_date,crossed_out,unclear_field,unclear_flags
8301,NA,PICO,17.3,17.3,H,23.4,-,0,T,3,C,A,S,-,-,90,90,0,N,-,"3 leaders; bore hole, beetle, popcorn",2026-08-08,,,
8302,NA,ABLA,,,,NA,,,,,,D,U,,,,,,,,,2026-08-08,Y,,
8303,NA,PICO,19.3,19.3,H,21.5,-,0,T,3,C,A,S,sappy,-,90,100,0,N,-,,2026-08-08,,,
8304,NA,ABLA,,,,NA,,,,,,D,S,,,,,,,,,2026-08-08,Y,,
8305,NA,PIEN,9.0,8.7,H,12.6,-,0,T,2,I,A,S,10% red,-,90,90,0,Y,-,,2026-08-08,,,
8306,NA,PIEN,3.3,-,T,6.2,5.1,0,C,1,S,A,S,10% yellow,2.8,80,90,0,Y,-,dead top,2026-08-08,,,
8307,NA,ABLA,3.7,3.8,H,5.2,5.2,0,C,1,S,A,S,BW,-,100,90,0,Y,-,,2026-08-08,,,
8308,NA,PICO,19.1,19.2,H,18.3,-,0,T,3,I,OK,S,-,-,100,100,0,N,-,scorched,2026-08-08,,,
8309,NA,PICO,21.3,20.9,H,34.1,-,0,T,3,C,A,S,10% yellow,-,100,90,0,Y,-,"chared, sappy",2026-08-08,,,
8310,NA,PICO,7.3,7.1,H,7.4,-,0,T,1,S,A,S,-,-,100,100,0,N,2,,2026-08-08,,,
8311,NA,PICO,17.4,17.5,H,16.6,-,0,T,3,C,A,S,-,-,90,100,0,N,-,chared,2026-08-08,,height1,"Height_1 handwriting reads like 10.4 / 17.4 (overwritten) - entered 17.4, confirm"
8312,NA,PICO,19.5,19.2,H,23.7,-,0,T,3,C,A,S,10% red,-,80,90,0,N,-,chared,2026-08-08,,,
8313,NA,PIEN,18.1,17.9,H,22.9,-,0,T,4,C,A,S,-,-,100,90,0,N,-,,2026-08-08,,,
8314,NA,PIEN,15.0,15.3,H,19.7,-,0,T,3,I,A,S,-,-,100,80,0,N,-,,2026-08-08,,,
8315,NA,PIEN,4.2,-,T,4.8,4.7,0,C,1,S,A,S,BW,-,100,90,0,Y,-,,2026-08-08,,,
8316,NA,ABLA,,,,NA,,,,,,D,U,,,,,,,,,2026-08-08,Y,,
8317,NA,PICO,17.3,17.4,H,23.1,-,0,T,4,C,A,S,10% red,-,100,90,0,Y,-,,2026-08-08,,,
8318,NA,ABLA,5.3,5.2,H,7.5,-,0,T,2,S,A,S,BW,-,100,90,0,Y,-,switched to nail,2026-08-08,,,
8319,NA,ABLA,3.1,-,T,3.0,2.8,0,C,1,S,A,S,10% red,-,90,90,0,Y,-,,2026-08-08,,height2,"Height_2 (3.0) is struck through on the sheet - entered as a dash, confirm"
8320,NA,PICO,6.9,6.8,H,8.1,-,0,T,2,S,A,S,10% red,-,90,90,0,Y,-,chared,2026-08-08,,,
8321,NA,PICO,18.5,19.0,H,27.1,-,0,T,3,C,A,S,sappy,-,80,90,0,Y,-,sappy,2026-08-08,,,
8322,NA,PICO,19.7,20.0,H,31.3,-,0,T,3,C,A,L,20% red,-,80,100,10,Y,-,,2026-08-08,,leaf_damage,"Leaf_Damage letter is ambiguous (Y or X) - entered Y, confirm"
8323,NA,PICO,17.2,17.6,H,20.8,-,0,T,3,I,A,S,sappy 10% red,-,80,90,0,Y,-,,2026-08-08,,,
8324,NA,PICO,21.6,21.7,H,35.7,-,0,T,4,D,A,S,-,-,90,100,0,N,-,,2026-08-08,,,
8325,NA,PICO,3.6,-,T,4.7,4.7,0,C,4,I,A,S,-,-,80,80,10,Y,2,new tag -> 9902 out of seq,2026-08-08,,cii,CII reads 4 (overwritten) for a small tree with Canopy_Pos I - confirm
8326,NA,PICO,19.1,19.2,H,24.0,-,0,T,3,C,OK,S,-,-,100,100,0,N,-,,2026-08-08,,,
8327,NA,PICO,7.7,7.8,H,8.3,-,0,T,2,I,A,S,10% red,-,100,100,0,Y,2,,2026-08-08,,,
8328,NA,PICO,17.2,17.0,H,21.1,-,0,T,4,C,A,S,10% red,-,90,90,10,Y,1,chared,2026-08-08,,,
8329,NA,PICO,16.1,16.2,H,18.5,-,0,T,3,C,A,S,sappy 10% red,-,100,90,0,Y,-,,2026-08-08,,,
8330,NA,ABLA,4.3,4.4,H,5.6,5.1,0,C,2,S,A,S,BW,-,100,90,0,Y,-,,2026-08-08,,,
8331,NA,ABLA,3.9,-,T,4.9,4.9,0,C,1,S,A,S,-,-,90,100,0,N,1,,2026-08-08,,,
8332,NA,PIEN,2.8,-,T,3.3,3.6,0,C,1,S,A,L,-,-,100,100,10,N,1,,2026-08-08,,,
8333,NA,ABLA,,,,NA,,,,,,D,S,,,,,,,,,2026-08-08,Y,,
8334,NA,ABLA,1.5,-,T,1.3,1.3,0,C,1,S,A,S,"5% brown, BW",-,90,90,0,Y,-,curvy,2026-08-08,,,
8335,NA,PIEN,3.0,-,T,3.8,3.8,0,C,1,S,A,S,BW,-,100,90,0,Y,-,,2026-08-08,,,
8336,NA,PICO,19.3,19.6,H,31.9,-,0,T,4,C,OK,S,-,-,100,100,0,N,-,,2026-08-08,,,
8337,NA,ABLA,15.1,15.1,H,15.7,-,0,T,3,C,A,S,"10% red, BW, sappy",15.0,90,60,0,Y,1,very top dead,2026-08-08,,,
8338,NA,PICO,14.8,15.0,H,14.4,-,0,T,3,C,A,S,sappy 20% red,-,90,80,0,Y,-,,2026-08-08,,pct_leaves,"% Leaves written over / as 1 80 and Leaf_Damage letter overwritten - entered 80 and Y, confirm"
8339,NA,PIEN,7.6,7.2,H,9.1,-,0,T,3,I,A,L,-,-,100,100,10,N,-,,2026-08-08,,,
8340,NA,PICO,14.6,14.5,H,17.3,-,0,T,3,C,A,L,sappy,-,100,100,10,N,-,chared,2026-08-08,,,
8341,NA,ABLA,8.7,8.7,H,10.2,-,0,T,2,I,A,S,BW sappy,-,100,90,0,Y,2,,2026-08-08,,,
8342,NA,PIEN,8.7,8.9,H,12.2,-,0,T,2,I,A,S,"sappy, 10% yellow",6.6,80,100,0,Y,-,chared,2026-08-08,,,
8343,NA,ABLA,2.0,-,T,3.7,4.1,0,C,1,S,D,L,-,-,0,0,45,-,2,,2026-08-08,,,
8344,NA,ABLA,4.2,4.4,H,3.9,4.1,0,C,1,S,A,S,10% red,-,100,90,0,Y,-,,2026-08-08,,,
8345,NA,ABLA,6.7,6.8,H,9.3,-,0,T,2,I,A,S,past BW,-,100,80,0,N,1,,2026-08-08,,,
8346,NA,ABLA,3.8,-,T,5.3,4.7,0,T,1,S,OK,S,-,-,100,100,0,N,-,,2026-08-08,,,
8347,NA,PIEN,2.9,-,T,4.0,4.3,0,C,1,S,A,S,bend at base,-,100,100,0,N,-,,2026-08-08,,,
8348,NA,PIEN,3.7,-,T,5.0,4.7,0,C,1,S,A,S,10% red,-,100,100,0,Y,-,,2026-08-08,,,
8349,NA,PICO,,,,NA,,,,,,D,S,,,,,,,,,2026-08-08,Y,,
8350,NA,PICO,,,,NA,,,,,,D,S,,,,,,,,,2026-08-08,Y,,
8351,NA,UNKN,,,,NA,,,,,,D,S,,,,,,,,,2026-08-08,Y,,
8352,NA,ABLA,2.5,-,T,3.6,3.4,0,C,1,S,A,S,BW,-,100,90,0,Y,1,DBH measured at 1.3,2026-08-08,,,
8353,NA,PIEN,5.4,5.4,H,6.2,6.5,0,C,2,S,A,S,-,-,70,100,0,N,1,,2026-08-08,,,
8354,NA,PICO,21.9,21.7,H,32.2,-,0,T,4,D,A,S,10% red,-,100,100,0,Y,2,chared,2026-08-08,,,
8355,NA,ABLA,4.0,-,T,4.4,4.8,0,T,1,S,A,S,10% yellow,-,100,90,0,Y,2,,2026-08-08,,,
8356,NA,PIEN,18.3,18.6,H,23.2,-,0,T,4,C,A,L,-,-,90,100,10,N,-,another tree leaning on it,2026-08-08,,,
8357,NA,ABLA,2.9,-,T,4.2,4.2,0,C,1,S,A,S,10% red,-,100,100,0,Y,-,,2026-08-08,,,
8358,NA,ABLA,,,,NA,,,,,,D,L,,,,,30,,,,2026-08-08,Y,,
8359,NA,PIEN,3.3,-,T,5.0,5.0,0,C,1,S,OK,S,-,-,100,100,0,N,-,,2026-08-08,,,
8360,NA,PIEN,6.0,6.2,H,6.5,6.2,0,C,2,S,OK,S,-,-,100,100,0,N,-,,2026-08-08,,,
8361,NA,ABLA,6.3,6.2,H,9.7,-,0,T,2,I,D,L,-,-,0,0,20,-,1,,2026-08-08,,,
8362,NA,ABLA,,,,NA,,,,,,D,S,,,,,,,,,2026-08-08,Y,,
8363,NA,PIEN,4.9,5.0,H,7.4,-,0,T,2,S,A,S,-,-,100,100,0,N,-,,2026-08-08,,,
8364,NA,ABLA,8.2,8.3,H,8.7,-,0,T,2,I,A,S,-,7.9,70,80,20,Y,2,dead top,2026-08-08,,,
8365,NA,ABLA,11.8,11.0,H,15.2,-,0,T,2,I,A,S,10% brown,-,90,80,0,Y,1,,2026-08-08,,pct_leaves,% Leaves written as 1 80 (stray tick) - entered 80
8366,NA,PICO,18.4,18.5,H,24.9,-,0,T,3,C,A,S,20% brown,-,100,100,0,Y,-,burl at base,2026-08-08,,,
8367,NA,PIEN,4.9,4.9,H,6.1,5.9,0,C,1,S,A,S,10% red,-,90,90,0,Y,-,,2026-08-08,,dbh_method,"DBH_Method looks like C written over T - entered C, confirm"
8368,NA,PIEN,8.1,8.4,H,9.0,-,0,T,2,I,OK,S,-,-,100,100,0,N,-,,2026-08-08,,,
8369,NA,PIEN,6.4,6.5,H,8.6,-,0,T,2,S,OK,S,-,-,100,100,0,N,-,,2026-08-08,,,
8370,NA,ABLA,,,,NA,,,,,,D,S,,,,,,,,,2026-08-08,Y,,
8371,NA,PIEN,16.3,16.5,H,19.0,-,0,T,3,C,OK,S,-,-,100,100,0,N,-,chared,2026-08-08,,,
8372,NA,PIEN,14.8,15.0,H,17.7,-,0,T,3,I,A,S,sappy,-,100,100,0,N,-,,2026-08-08,,,
8373,NA,PICO,16.1,16.2,H,18.9,-,0,T,3,C,A,L,"10% red, popcorn beetles",-,90,80,5,Y,-,"bore holes, chared",2026-08-08,,,
