tag,prev_tag_sheet,sp_code,height1,height2,height_method,dbh1,dbh2,dbh_hom,dbh_method,cii,canopy_pos,survival_status,deathdam_status,deathdam_mode,living_length,pct_crown,pct_leaves,degrees_leaning,leaf_damage,wounded_trunk,comment,row_date,unclear_field,unclear_flags
4301,NA,PIEN,1.7,-,T,1.5,1.5,0,C,1,S,A,S,bw,-,100,100,-,Y,-,,,,
4302,NA,ABLA,2.16,-,T,4.0,3.9,0,C,2,S,A,S,bw 5% brown,-,100,90,-,Y,-,bent,,,
4303,NA,PIEN,1.7,-,T,1.9,1.8,0,C,2,S,A,S,,-,100,100,-,N,-,small secondary leader,,,
4304,NA,ABLA,3.1,-,T,4.4,4.5,0,C,1,S,A,S,5% brown BW,-,100,90,-,Y,-,,,,
4305,NA,PIEN,1.4,-,T,1.3,1.3,0,C,1,S,A,S,BW,-,100,90,-,Y,-,,,height1,"height1 unclear (read as 1.4; could be 1.U or other)"
4306,NA,ABLA,17.7,18.0,H,20.3,-,0,T,3,I,A,S,BW 2% red,-,100,90,-,Y,-,bent at base,,,
4307,NA,ABLA,7.2,6.8,H,7.2,-,0,T,1,S,A,S,BW,-,100,90,-,Y,-,2 leaders,,,
4308,NA,ABLA,7.6,7.8,H,12.0,-,0,T,2,I,A,S,2% red,-,90,90,-,Y,1,curved trunk,,,
4309,NA,PIEN,2.4,-,T,3.1,2.8,0,C,1,S,A,S,BW sap,-,100,100,-,Y,-,,,,
4310,NA,PIEN,1.9,-,T,1.3,1.2,0,C,1,S,A,L,bw,-,90,90,15,Y,2,,,,
4311,NA,ABLA,2.5,-,T,2.8,2.8,0,C,1,S,A,S,bw 5%,-,100,90,-,Y,-,,,,
4312,NA,ABLA,2.4,-,T,2.9,2.9,0,C,1,S,A,S,BW burl 15% brown,-,100,100,-,Y,-,,,,
4313,NA,ABLA,2.5,-,T,3.4,3.5,0,C,1,S,A,S,BW 5% brown,-,100,100,-,Y,-,,,,
4314,NA,ABLA,19.7,19.7,H,30.3,-,0,T,4,I,A,S,,-,90,80,-,N,-,2 leaders,,,
4315,NA,ABLA,1.16,-,T,1.1,1.3,0,C,1,S,A,L,1% brown,-,90,90,10,Y,-,,,,
4316,NA,ABLA,9.7,9.8,H,12.5,-,0,T,2,I,A,S,5% red,-,90,90,-,Y,-,check mark in comment,,comment,comment cell on sheet is just a checkmark - not sure what it's confirming
4317,NA,ABLA,2.9,-,T,4.9,5.2,0,C,1,S,A,L,5% brown BW,-,50,80,15,Y,1,2 leaders,,,
4318,NA,ABLA,11.7,11.8,H,14.3,-,0,T,2,I,A,S,BW,-,90,90,-,Y,-,secondary leaders,,,
4319,NA,ABLA,2.0,-,T,2.9,2.8,0,C,1,S,A,S,BW 5% brown,-,100,100,-,Y,-,,,,
4320,NA,ABLA,23.5,23.2,H,34.3,-,0,T,4,C,A,L,,-,80,90,10,N,-,secondary mortality,,comment,comment word hard to read - confirm
4321,NA,PIEN,22.9,22.9,H,26.3,-,0,T,3,C,A,S,BW,-,80,90,-,Y,1,,,,
4322,NA,PIEN,2.4,-,T,4.1,4.5,0,C,2,S,A,S,,-,100,100,-,N,-,,,,
4323,NA,ABLA,12.9,13.2,H,13.5,-,0,T,3,I,A,S,20% red,12.4,80,70,-,Y,2,dead at top; crushed at base,,living_length,living_length value (12.4) is circled on the sheet - confirm what circling means here
4324,NA,PIEN,1.7,-,T,1.7,1.8,0,C,2,S,A,S,bw,-,100,100,-,Y,-,bent at base,,,
4325,NA,PICO,12.5,12.6,H,31.2,-,0,T,2,I,A,S,3% red,-,70,80,-,Y,-,multiple leaders,,,
4326,NA,PIEN,2.2,-,T,2.7,2.0,0.2,C,1,S,A,S,bw,-,100,100,-,Y,-,DBH measured above knob at tag,,,
4327,NA,ABLA,1.7,-,T,1.5,1.4,0,C,1,S,A,S,20% brown,-,100,90,-,Y,-,bend at base,,,
4328,NA,ABLA,4.7,-,J,8.6,-,0,T,3,S,A,S,sap 5% red bw,-,100,90,-,Y,-,,,,
4329,NA,ABLA,23.9,24.3,H,30.0,-,0.1,T,3,I,A,S,bw,-,90,90,-,Y,-,,,,
4330,NA,PIEN,1.7,-,T,1.5,1.4,0,C,3,S,A,S,,-,90,100,-,N,-,,,,
4331,NA,PIEN,18.2,18.3,H,23.0,-,0,T,3,I,A,S,sap,-,80,70,-,N,-,double checked dbh,,,
4332,NA,ABLA,13.7,13.3,H,17.8,-,0,T,3,I,A,S,,-,70,70,-,N,-,,,,
4333,NA,PIEN,15.4,,,NA,,,,,,Dead,S,,,,,,,,,,,tree marked Dead on sheet - most fields blank; confirm blank vs NA reading
4334,NA,ABLA,2.0,-,T,2.0,2.0,0,C,1,S,A,S,bw 5% brown,-,100,90,-,Y,-,,,,
4335,NA,PIEN,23.9,24.1,H,31.4,-,0,T,4,C,A,S,,-,90,80,-,N,-,,,,
4336,NA,ABLA,3.0,-,T,4.0,4.0,0,C,1,S,A,S,bw 1% brown,-,100,100,-,Y,-,,,,
4337,NA,ABLA,1.7,-,T,1.6,1.5,0,C,1,S,A,S,bw 5% brown,-,100,90,-,Y,1,,,,
4338,NA,ABLA,20.7,20.9,H,25.5,-,0,T,4,I,A,S,BW,-,90,90,-,Y,1,,,,
4339,NA,PIEN,22.3,22.5,H,33.8,-,0,T,2,I,A,S,BW 5% red,-,90,90,-,Y,1,,,,
4340,NA,ABLA,10.4,10.6,H,14.6,-,0,T,3,I,A,S,"sap, boreholes",-,90,90,-,N,-,bend at base,,,
